movieId,title,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,IMAX,War,Musical,Documentary,Western,Film-Noir,Year
1,Toy Story (1995),1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
2,Jumanji (1995),1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
3,Grumpier Old Men (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
4,Waiting to Exhale (1995),0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
5,Father of the Bride Part II (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
6,Heat (1995),0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1995
7,Sabrina (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
8,Tom and Huck (1995),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
9,Sudden Death (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
10,GoldenEye (1995),1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1995
11,"American President, The (1995)",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
12,Dracula: Dead and Loving It (1995),0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1995
13,Balto (1995),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
14,Nixon (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
15,Cutthroat Island (1995),1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
16,Casino (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1995
17,Sense and Sensibility (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
18,Four Rooms (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
19,Ace Ventura: When Nature Calls (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
20,Money Train (1995),0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1995
21,Get Shorty (1995),0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1995
22,Copycat (1995),0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1995
23,Assassins (1995),0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1995
24,Powder (1995),0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1995
25,Leaving Las Vegas (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
26,Othello (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
27,Now and Then (1995),0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
28,Persuasion (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1995
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1995
31,Dangerous Minds (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1995
33,Wings of Courage (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1995
34,Babe (1995),0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
35,Carrington (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
36,Dead Man Walking (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1995
39,Clueless (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
40,"Cry, the Beloved Country (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
41,Richard III (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1995
42,Dead Presidents (1995),0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1995
43,Restoration (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
44,Mortal Kombat (1995),1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
45,To Die For (1995),0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1995
46,How to Make an American Quilt (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
47,Seven (a.k.a. Se7en) (1995),0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1995
48,Pocahontas (1995),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1995
49,When Night Is Falling (1995),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
50,"Usual Suspects, The (1995)",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1995
52,Mighty Aphrodite (1995),0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
53,Lamerica (1994),1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1994
54,"Big Green, The (1995)",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
55,Georgia (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
57,Home for the Holidays (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
58,"Postman, The (Postino, Il) (1994)",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1994
59,"Confessional, The (Confessionnal, Le) (1995)",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1995
60,"Indian in the Cupboard, The (1995)",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
61,Eye for an Eye (1996),0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1996
62,Mr. Holland's Opus (1995),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1996
64,Two if by Sea (1996),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
65,Bio-Dome (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996
66,Lawnmower Man 2: Beyond Cyberspace (1996),0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1996
68,French Twist (Gazon maudit) (1995),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
